NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FEMALE MEIOTIC NUCLEAR DIVISION%GOBP%GO:0007143	FEMALE MEIOTIC NUCLEAR DIVISION%GOBP%GO:0007143	Details ...	21	0.6983362	1.808732	0.0	1.0	0.806	3316	tags=33%, list=14%, signal=39%	
PHOSPHATIDYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0046471	PHOSPHATIDYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0046471	Details ...	31	0.6279995	1.731782	0.0	1.0	0.999	2498	tags=26%, list=10%, signal=29%	
COMMON PATHWAY OF FIBRIN CLOT FORMATION%REACTOME DATABASE ID RELEASE 95%140875	COMMON PATHWAY OF FIBRIN CLOT FORMATION%REACTOME DATABASE ID RELEASE 95%140875	Details ...	22	0.6625261	1.7316935	0.0	1.0	0.999	3625	tags=41%, list=15%, signal=48%	
VISUAL BEHAVIOR%GOBP%GO:0007632	VISUAL BEHAVIOR%GOBP%GO:0007632	Details ...	18	0.69790953	1.7312135	0.008534851	1.0	0.999	4704	tags=61%, list=19%, signal=76%	
RECEPTOR INTERNALIZATION%GOBP%GO:0031623	RECEPTOR INTERNALIZATION%GOBP%GO:0031623	Details ...	55	0.56679773	1.7219265	0.0	1.0	0.999	3335	tags=33%, list=14%, signal=38%	
FATTY ACID BETA OXIDATION%WIKIPATHWAYS_20260211%WP143%HOMO SAPIENS	FATTY ACID BETA OXIDATION%WIKIPATHWAYS_20260211%WP143%HOMO SAPIENS	Details ...	26	0.6159029	1.6847776	0.010914052	1.0	1.0	4516	tags=46%, list=18%, signal=57%	
PEROXISOMAL LIPID METABOLISM%REACTOME%R-HSA-390918.7	PEROXISOMAL LIPID METABOLISM%REACTOME%R-HSA-390918.7	Details ...	23	0.63620806	1.6809416	0.0027173914	1.0	1.0	5746	tags=57%, list=23%, signal=74%	
DENGUE 2 INTERACTIONS WITH COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20260211%WP3896%HOMO SAPIENS	DENGUE 2 INTERACTIONS WITH COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20260211%WP3896%HOMO SAPIENS	Details ...	50	0.54811907	1.6599327	0.0037641155	1.0	1.0	8585	tags=62%, list=35%, signal=95%	
GLYCEROPHOSPHOLIPID BIOSYNTHETIC PATHWAY%WIKIPATHWAYS_20260211%WP2533%HOMO SAPIENS	GLYCEROPHOSPHOLIPID BIOSYNTHETIC PATHWAY%WIKIPATHWAYS_20260211%WP2533%HOMO SAPIENS	Details ...	26	0.62050027	1.6595808	0.004016064	1.0	1.0	2739	tags=27%, list=11%, signal=30%	
ZYGOTIC GENOME ACTIVATION (ZGA)%REACTOME DATABASE ID RELEASE 95%9819196	ZYGOTIC GENOME ACTIVATION (ZGA)%REACTOME DATABASE ID RELEASE 95%9819196	Details ...	16	0.6799235	1.6525218	0.0073855245	1.0	1.0	6320	tags=63%, list=26%, signal=84%	
COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20260211%WP558%HOMO SAPIENS	COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20260211%WP558%HOMO SAPIENS	Details ...	49	0.55507797	1.650042	0.0	1.0	1.0	8585	tags=63%, list=35%, signal=97%	
TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE%REACTOME DATABASE ID RELEASE 95%202430	TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE%REACTOME DATABASE ID RELEASE 95%202430	Details ...	22	0.63671553	1.6493218	0.006993007	1.0	1.0	7592	tags=68%, list=31%, signal=99%	
HALLMARK_PEROXISOME%MSIGDBHALLMARK%HALLMARK_PEROXISOME	HALLMARK_PEROXISOME%MSIGDBHALLMARK%HALLMARK_PEROXISOME	Details ...	81	0.50610733	1.6418074	0.0	1.0	1.0	5125	tags=37%, list=21%, signal=47%	
GENERATION OF SECOND MESSENGER MOLECULES%REACTOME%R-HSA-202433.5	GENERATION OF SECOND MESSENGER MOLECULES%REACTOME%R-HSA-202433.5	Details ...	37	0.57843244	1.6347679	0.0013140604	1.0	1.0	7592	tags=59%, list=31%, signal=86%	
