NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
<I>S< I>-METHYL-5-THIO-&ALPHA;-D-RIBOSE 1-PHOSPHATE DEGRADATION%BIOCYC%PWY-4361	5		Rejected!	
L-CYSTEINE DEGRADATION III%BIOCYC%PWY-5329	3		Rejected!	
L-GLUTAMATE DEGRADATION (VIA 4-AMINOBUTANOATE)%BIOCYC%PWY0-1305	3		Rejected!	
ESTRADIOL BIOSYNTHESIS II%BIOCYC%PWY-7306	2		Rejected!	
DOCOSAHEXAENOATE BIOSYNTHESIS III (6-DESATURASE, MAMMALS)%BIOCYC%PWY-7606	5		Rejected!	
METHYLGLYOXAL DEGRADATION VI%BIOCYC%MGLDLCTANA-PWY	1		Rejected!	
GLUTARYL-COA DEGRADATION%BIOCYC%PWY-5177	4		Rejected!	
L-ASPARAGINE BIOSYNTHESIS%BIOCYC%ASPARAGINE-BIOSYNTHESIS	1		Rejected!	
PHYTOL DEGRADATION%BIOCYC%PWY66-389	2		Rejected!	
MENAQUINOL-4 BIOSYNTHESIS II%BIOCYC%PWY-7998	1		Rejected!	
SUPERPATHWAY OF D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE METABOLISM%BIOCYC%PWY-6358	20	20		
L-CYSTEINE BIOSYNTHESIS III (FROM L-HOMOCYSTEINE)%BIOCYC%HOMOCYSDEGR-PWY	2		Rejected!	
SUPERPATHWAY OF PYRIMIDINE DEOXYRIBONUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-7211	21	21		
MOLYBDENUM COFACTOR BIOSYNTHESIS%BIOCYC%PWY-8171	1		Rejected!	
SEROTONIN AND MELATONIN BIOSYNTHESIS%BIOCYC%PWY-6030	5		Rejected!	
ZYMOSTEROL BIOSYNTHESIS%BIOCYC%PWY-6074	4		Rejected!	
&GAMMA;-LINOLENATE BIOSYNTHESIS%BIOCYC%PWY-6000	9		Rejected!	
MRNA CAPPING II%BIOCYC%PWY-7379	4		Rejected!	
PEPTIDO-CONJUGATES IN TISSUE REGENERATION BIOSYNTHESIS%BIOCYC%PWY-8355	8		Rejected!	
SUPERPATHWAY OF GERANYLGERANYLDIPHOSPHATE BIOSYNTHESIS I (VIA MEVALONATE)%BIOCYC%PWY-5910	12		Rejected!	
L-GLUTAMINE DEGRADATION%BIOCYC%GLUTAMINDEG-PWY	2		Rejected!	
L-TYROSINE DEGRADATION%BIOCYC%TYRFUMCAT-PWY	5		Rejected!	
NORADRENALINE AND ADRENALINE DEGRADATION%BIOCYC%PWY-6342	10		Rejected!	
<I>N< I>-ACETYLGLUCOSAMINE DEGRADATION II%BIOCYC%PWY-6517	4		Rejected!	
L-HISTIDINE DEGRADATION%BIOCYC%PWY-5030	5		Rejected!	
NADH REPAIR%BIOCYC%PWY-6938	3		Rejected!	
URACIL DEGRADATION I (REDUCTIVE)%ARACYC%PWY-3982	3		Rejected!	
