NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	94	-0.56693727	-2.3187108	0.0	0.001167888	0.001	4584	tags=56%, list=19%, signal=69%	
IRE1ALPHA ACTIVATES CHAPERONES%REACTOME%R-HSA-381070.3	IRE1ALPHA ACTIVATES CHAPERONES%REACTOME%R-HSA-381070.3	Details ...	49	-0.62483513	-2.2360857	0.0	0.010816947	0.019	3723	tags=49%, list=15%, signal=58%	
ENDOPLASMIC RETICULUM TO CYTOSOL TRANSPORT%GOBP%GO:1903513	ENDOPLASMIC RETICULUM TO CYTOSOL TRANSPORT%GOBP%GO:1903513	Details ...	19	-0.7711783	-2.2326713	0.0	0.007211298	0.019	2353	tags=58%, list=10%, signal=64%	
XBP1(S) ACTIVATES CHAPERONE GENES%REACTOME%R-HSA-381038.5	XBP1(S) ACTIVATES CHAPERONE GENES%REACTOME%R-HSA-381038.5	Details ...	47	-0.6098359	-2.1902518	0.0	0.009706836	0.033	3723	tags=49%, list=15%, signal=58%	
RETROGRADE PROTEIN TRANSPORT, ER TO CYTOSOL%GOBP%GO:0030970	RETROGRADE PROTEIN TRANSPORT, ER TO CYTOSOL%GOBP%GO:0030970	Details ...	19	-0.7711783	-2.154778	0.0	0.013476022	0.058	2353	tags=58%, list=10%, signal=64%	
DISEASES ASSOCIATED WITH GLYCOSYLATION PRECURSOR BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 95%5609975	DISEASES ASSOCIATED WITH GLYCOSYLATION PRECURSOR BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 95%5609975	Details ...	16	-0.78509057	-2.1474566	0.0	0.012929675	0.067	3629	tags=50%, list=15%, signal=59%	
MORPHINE METABOLISM PATHWAY%SMPDB%SMP0000622	MORPHINE METABOLISM PATHWAY%SMPDB%SMP0000622	Details ...	16	-0.77495456	-2.1402924	0.0	0.012871236	0.078	1216	tags=44%, list=5%, signal=46%	
UNFOLDED PROTEIN RESPONSE (UPR)%REACTOME%R-HSA-381119.4	UNFOLDED PROTEIN RESPONSE (UPR)%REACTOME%R-HSA-381119.4	Details ...	92	-0.5333073	-2.1249905	0.0	0.013132674	0.09	3723	tags=39%, list=15%, signal=46%	
ANDROSTENEDIONE METABOLISM%SMPDB%SMP0030406	ANDROSTENEDIONE METABOLISM%SMPDB%SMP0030406	Details ...	18	-0.745122	-2.1169324	0.0	0.0120520275	0.092	1216	tags=39%, list=5%, signal=41%	
DENGUE VIRUS GENOME TRANSLATION AND REPLICATION%REACTOME%R-HSA-9918487.1	DENGUE VIRUS GENOME TRANSLATION AND REPLICATION%REACTOME%R-HSA-9918487.1	Details ...	80	-0.5399991	-2.1163116	0.0	0.010846824	0.092	1865	tags=30%, list=8%, signal=32%	
ETOPOSIDE ACTION PATHWAY%SMPDB%SMP0000442	ETOPOSIDE ACTION PATHWAY%SMPDB%SMP0000442	Details ...	20	-0.7067363	-2.0800505	0.0	0.017859543	0.159	1216	tags=35%, list=5%, signal=37%	
ETOPOSIDE METABOLISM PATHWAY%PATHWHIZ%PW000577	ETOPOSIDE METABOLISM PATHWAY%PATHWHIZ%PW000577	Details ...	20	-0.7067363	-2.0738745	0.0	0.017514745	0.17	1216	tags=35%, list=5%, signal=37%	
CLASSICAL ANTIBODY-MEDIATED COMPLEMENT ACTIVATION%REACTOME%R-HSA-173623.4	CLASSICAL ANTIBODY-MEDIATED COMPLEMENT ACTIVATION%REACTOME%R-HSA-173623.4	Details ...	69	-0.54194367	-2.0481381	0.0	0.022772724	0.235	5078	tags=58%, list=21%, signal=73%	
PROTEIN EXIT FROM ENDOPLASMIC RETICULUM%GOBP%GO:0032527	PROTEIN EXIT FROM ENDOPLASMIC RETICULUM%GOBP%GO:0032527	Details ...	25	-0.66780347	-2.0477276	0.0	0.021307984	0.237	2685	tags=52%, list=11%, signal=58%	
IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE%GOBP%GO:0016064	IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE%GOBP%GO:0016064	Details ...	114	-0.4892525	-2.021266	0.0	0.030252494	0.336	3946	tags=42%, list=16%, signal=50%	
CD22 MEDIATED BCR REGULATION%REACTOME DATABASE ID RELEASE 95%5690714	CD22 MEDIATED BCR REGULATION%REACTOME DATABASE ID RELEASE 95%5690714	Details ...	66	-0.52405155	-2.0151327	0.0	0.030720139	0.357	4814	tags=55%, list=20%, signal=68%	
RETINOL METABOLISM%SMPDB%SMP0000074	RETINOL METABOLISM%SMPDB%SMP0000074	Details ...	37	-0.58314687	-2.0059493	0.0	0.03274962	0.391	1363	tags=30%, list=6%, signal=31%	
NEURON FATE COMMITMENT%GOBP%GO:0048663	NEURON FATE COMMITMENT%GOBP%GO:0048663	Details ...	22	-0.65830564	-2.0030453	0.0	0.032642864	0.402	4106	tags=45%, list=17%, signal=55%	
B CELL MEDIATED IMMUNITY%GOBP%GO:0019724	B CELL MEDIATED IMMUNITY%GOBP%GO:0019724	Details ...	118	-0.47227025	-2.0028021	0.0	0.030984923	0.402	3946	tags=41%, list=16%, signal=48%	
REGULATION OF CDH1 POSTTRANSLATIONAL PROCESSING AND TRAFFICKING TO PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 95%9768727	REGULATION OF CDH1 POSTTRANSLATIONAL PROCESSING AND TRAFFICKING TO PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 95%9768727	Details ...	32	-0.60256106	-1.996055	0.0	0.032636836	0.434	2176	tags=34%, list=9%, signal=38%	
SORAFENIB METABOLISM PATHWAY%PATHWHIZ%PW000624	SORAFENIB METABOLISM PATHWAY%PATHWHIZ%PW000624		16	-0.73851115	-1.9956311	0.0	0.031193126	0.434	1216	tags=44%, list=5%, signal=46%	
IBUPROFEN METABOLISM PATHWAY%PATHWHIZ%PW000566	IBUPROFEN METABOLISM PATHWAY%PATHWHIZ%PW000566		23	-0.6578359	-1.9901605	0.0	0.031763297	0.454	1705	tags=35%, list=7%, signal=37%	
SYNTHESIS, SECRETION, AND INACTIVATION OF GLUCAGON-LIKE PEPTIDE-1 (GLP-1)%REACTOME%R-HSA-381771.6	SYNTHESIS, SECRETION, AND INACTIVATION OF GLUCAGON-LIKE PEPTIDE-1 (GLP-1)%REACTOME%R-HSA-381771.6		21	-0.6572457	-1.9757128	0.0	0.036273237	0.52	1808	tags=33%, list=7%, signal=36%	
REGULATION OF OXIDATIVE STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902175	REGULATION OF OXIDATIVE STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902175		32	-0.581095	-1.9495356	0.0	0.0467408	0.624	4645	tags=44%, list=19%, signal=54%	
PHOTODYNAMIC THERAPY INDUCED UNFOLDED PROTEIN RESPONSE%WIKIPATHWAYS_20260211%WP3613%HOMO SAPIENS	PHOTODYNAMIC THERAPY INDUCED UNFOLDED PROTEIN RESPONSE%WIKIPATHWAYS_20260211%WP3613%HOMO SAPIENS		20	-0.659862	-1.9489197	0.0033783785	0.045236778	0.625	3341	tags=60%, list=14%, signal=69%	
FCGR ACTIVATION%REACTOME%R-HSA-2029481.3	FCGR ACTIVATION%REACTOME%R-HSA-2029481.3		73	-0.49430388	-1.9378034	0.0	0.048963387	0.667	4649	tags=52%, list=19%, signal=64%	
VITAMIN A DEFICIENCY%SMPDB%SMP0000336	VITAMIN A DEFICIENCY%SMPDB%SMP0000336		37	-0.58314687	-1.9343835	0.0	0.04879535	0.683	1363	tags=30%, list=6%, signal=31%	
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599	ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599		36	-0.5694872	-1.9236562	0.0	0.052373324	0.722	2888	tags=47%, list=12%, signal=53%	
ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:0030968	ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:0030968		54	-0.525479	-1.9212424	0.0	0.051564354	0.728	2429	tags=31%, list=10%, signal=35%	
NGF-STIMULATED TRANSCRIPTION%REACTOME DATABASE ID RELEASE 95%9031628	NGF-STIMULATED TRANSCRIPTION%REACTOME DATABASE ID RELEASE 95%9031628		38	-0.5649459	-1.9202368	0.004149378	0.050299115	0.732	3016	tags=29%, list=12%, signal=33%	
RESPONSE TO UNFOLDED PROTEIN%GOBP%GO:0006986	RESPONSE TO UNFOLDED PROTEIN%GOBP%GO:0006986		94	-0.4668367	-1.916657	0.0	0.050878488	0.747	2092	tags=23%, list=9%, signal=25%	
ESTRONE METABOLISM%SMPDB%SMP0030880	ESTRONE METABOLISM%SMPDB%SMP0030880		16	-0.68856525	-1.9150529	0.0034246575	0.05015053	0.751	1216	tags=44%, list=5%, signal=46%	
ROLE OF LAT2 NTAL LAB ON CALCIUM MOBILIZATION%REACTOME DATABASE ID RELEASE 95%2730905	ROLE OF LAT2 NTAL LAB ON CALCIUM MOBILIZATION%REACTOME DATABASE ID RELEASE 95%2730905		71	-0.49295557	-1.9063863	0.0	0.053409513	0.784	4649	tags=51%, list=19%, signal=62%	
GLYCOSYLATION AND RELATED CONGENITAL DEFECTS%WIKIPATHWAYS_20260211%WP4521%HOMO SAPIENS	GLYCOSYLATION AND RELATED CONGENITAL DEFECTS%WIKIPATHWAYS_20260211%WP4521%HOMO SAPIENS		22	-0.64253306	-1.8870822	0.0034364262	0.06287987	0.846	2293	tags=50%, list=9%, signal=55%	
MAINTENANCE OF GASTROINTESTINAL EPITHELIUM%GOBP%GO:0030277	MAINTENANCE OF GASTROINTESTINAL EPITHELIUM%GOBP%GO:0030277		21	-0.61841106	-1.879907	0.0	0.06600226	0.873	1677	tags=29%, list=7%, signal=31%	
PROTEIN TARGETING TO ER%GOBP%GO:0045047	PROTEIN TARGETING TO ER%GOBP%GO:0045047		33	-0.5606772	-1.8765423	0.0	0.06610353	0.879	2888	tags=45%, list=12%, signal=51%	
CREATION OF C4 AND C2 ACTIVATORS%REACTOME%R-HSA-166786.4	CREATION OF C4 AND C2 ACTIVATORS%REACTOME%R-HSA-166786.4		76	-0.47890714	-1.8727268	0.0	0.0667894	0.887	4649	tags=49%, list=19%, signal=60%	
INITIAL TRIGGERING OF COMPLEMENT%REACTOME%R-HSA-166663.4	INITIAL TRIGGERING OF COMPLEMENT%REACTOME%R-HSA-166663.4		82	-0.46874025	-1.8636994	0.0	0.07070778	0.914	4649	tags=46%, list=19%, signal=57%	
