Gene	GSM7465903	GSM7465905	GSM7465907	GSM7465909	GSM7465911	GSM7465913	GSM7465915	GSM7465917	GSM7465919
A1BG	7.23919886460527	7.05320480720332	7.29442053598643	7.637338852451	5.62162716883308	4.16304076874331	4.67052662497887	4.84696009166027	4.93856553390777
A1BG-AS1	2.34684941011543	2.4507036173522	1.93580161171723	2.72393507433256	2.38850068737501	1.76908680760099	2.45130723526756	1.96254212338904	1.71111705093356
A1CF	3.78861334729109	4.68879511847602	4.34514677752229	4.54858565488466	0.935771581492808	4.32648983710508	1.57647260828461	0.752043486846916	-0.744806137861475
A2M	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	0.319930341278149	0.69378870620294	1.89052062561341	1.90869284200894	5.57773330241414
A2M-AS1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	0.935771581492808	1.04630923611764	0.709666501730202	2.37368329170478	2.23750749444755
A2ML1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
A3GALT2	5.97717230580317	5.84217618165893	6.00550852179978	6.73214123885652	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
A4GALT	3.96879687650165	4.24916218469548	3.96895413295149	4.30595715992532	-1.6539457653686	-1.14092228978411	-1.35082553848561	-0.212380265190891	0.701784210778296
A4GNT	3.80451858691671	4.72055846840045	4.38497536639347	4.97216900156782	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
AA06	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
AAAS	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	4.11541904887254	4.36461416926103	3.83554377996353	4.20930929261197	4.1280399098197
AACS	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	2.27421492167416	2.22094294907565	1.80754600594416	2.43210871311097	2.17308354621127
AADAC	-1.02551848950384	-1.27058113764785	-1.74359543059832	-0.111184352556586	-1.14976545384205	4.78111786203905	1.9689814997426	1.55268341687893	-2.43564143663598
AADACL2	1.82991391149836	2.32409729508013	2.40737702097149	2.1321703224282	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
AADACL3	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
AADACL4	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
AADAT	1.55698044280512	1.37639173738062	2.1726815114267	4.07175159588396	-2.43564143663598	-1.86573162228269	-2.43564143663598	-2.18088970646378	-2.43564143663598
AAGAB	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	4.07046832696657	3.95388514636798	4.13683601258252	4.09943080023951	3.98525451791766
AAK1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	5.68263969180069	5.49044925411524	6.57599858274985	5.54865343024918	5.95830485913396
AAMDC	5.28897445018924	2.07167452210724	2.1726815114267	3.49820468891266	2.77215439042162	4.47329117263971	3.23364512789534	2.55988217466736	2.46978957978206
AAMP	5.18345294728219	5.18408024051461	5.37857954085704	4.84981506555588	5.17295033563317	4.98658846981533	4.78338990062625	5.02991408179443	4.83826662880291
AANAT	-0.633904514250899	0.533986571790476	-0.926341233644155	-0.111184352556586	-0.776881152513706	-0.880943021696091	-2.43564143663598	-1.77627287265135	-0.744806137861475
AAR2	-2.43564143663598	-1.73856784154549	-2.43564143663598	-2.43564143663598	3.32503517426536	3.04329056690256	3.23364512789534	3.53264746258105	3.64870077856881
AARD	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
AARS1	-1.02551848950384	-0.91779189524796	0.403457663866572	0.737093279337159	4.39606603646126	3.37750118888339	3.60927890668007	4.33201197129525	4.09364642895692
AARS2	-2.43564143663598	-2.43564143663598	-2.43564143663598	-1.51661541928687	2.49439386322175	2.85971539788248	3.11788177455691	2.67725424037208	2.62234239624277
AARSD1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	4.00030186865043	3.76725846034036	3.9463548381944	3.93407211018909	3.76254152629861
AASDH	2.11141190251317	2.72575954033782	2.92234154452493	3.80906337014603	3.1416293289084	2.89487726081206	3.21766543584928	3.117873767008	2.84544129666658
AASDHPPT	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	4.72092311735652	4.47329117263971	4.90811360379731	4.89621695124749	4.68499058480669
AASS	5.56587995880349	5.58698046648052	5.56002216027627	6.14619802562591	0.465921096648305	-0.0134415542838755	1.76419768395836	-0.043634884933712	0.0124326142138436
AATBC	4.17861917160472	4.09290334846801	4.50550559653164	5.12294358103936	-2.43564143663598	-1.45827977467599	-1.79358463967636	-1.46063349862321	-0.317064569346572
AATF	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	4.97984233990427	4.98658846981533	4.81027814304581	4.98508529311765	5.00484379975758
AATK	2.00530918408453	2.07167452210724	1.97808203168698	3.69446513958235	1.57354053506943	4.90270289555926	2.21418972239048	1.67061925054625	-1.35551739229356
ABALON	-1.56474487729607	-1.27058113764785	-0.643913911713827	0.873008246178492	1.12351436097929	1.32938404404222	1.47257677949809	1.21831558790022	1.02745268977396
