name	description	pvalue	qvalue	phenotype	genes
GO:0045637	regulation of myeloid cell differentiation	0.204622615549752	0.204622615549752	1	4
GO:0031214	biomineral tissue development	0.204622615549752	0.204622615549752	1	3
GO:0045638	negative regulation of myeloid cell differentiation	0.204622615549752	0.204622615549752	1	3
GO:0050890	cognition	0.290745458035709	0.290745458035709	1	3
GO:0046474	glycerophospholipid biosynthetic process	0.304883462879172	0.304883462879172	1	3
GO:0008654	phospholipid biosynthetic process	0.313130140335446	0.313130140335446	1	3
GO:0045017	glycerolipid biosynthetic process	0.313130140335446	0.313130140335446	1	3
REAC:R-HSA-977225	Amyloid fiber formation	0.149961896005444	0.149961896005444	1	3
REAC:R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins	0.149961896005444	0.149961896005444	1	3
REAC:R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	0.149961896005444	0.149961896005444	1	3
REAC:R-HSA-5619507	Activation of HOX genes during differentiation	0.149961896005444	0.149961896005444	1	3
REAC:R-HSA-9018519	Estrogen-dependent gene expression	0.149961896005444	0.149961896005444	1	3
REAC:R-HSA-8878171	Transcriptional regulation by RUNX1	0.151165393089023	0.151165393089023	1	3
REAC:R-HSA-8939211	ESR-mediated signaling	0.151165393089023	0.151165393089023	1	3
WP:WP2369	Histone modifications	0.114428119820629	0.114428119820629	1	3
WP:WP4223	Ras signaling	0.258936669851517	0.258936669851517	1	3
