NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	94	-0.56693727	-2.2767153	0.0	0.0046884837	0.004	4584	tags=56%, list=19%, signal=69%	
ENDOPLASMIC RETICULUM TO CYTOSOL TRANSPORT%GOBP%GO:1903513	ENDOPLASMIC RETICULUM TO CYTOSOL TRANSPORT%GOBP%GO:1903513	Details ...	19	-0.7711783	-2.2457964	0.0	0.005204321	0.009	2353	tags=58%, list=10%, signal=64%	
IRE1ALPHA ACTIVATES CHAPERONES%REACTOME%R-HSA-381070.3	IRE1ALPHA ACTIVATES CHAPERONES%REACTOME%R-HSA-381070.3	Details ...	49	-0.62483513	-2.242808	0.0	0.0034695475	0.009	3723	tags=49%, list=15%, signal=58%	
RETROGRADE PROTEIN TRANSPORT, ER TO CYTOSOL%GOBP%GO:0030970	RETROGRADE PROTEIN TRANSPORT, ER TO CYTOSOL%GOBP%GO:0030970	Details ...	19	-0.7711783	-2.2269027	0.0	0.003452345	0.012	2353	tags=58%, list=10%, signal=64%	
DISEASES ASSOCIATED WITH GLYCOSYLATION PRECURSOR BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 95%5609975	DISEASES ASSOCIATED WITH GLYCOSYLATION PRECURSOR BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 95%5609975	Details ...	16	-0.78509057	-2.1800535	0.0	0.0075873914	0.033	3629	tags=50%, list=15%, signal=59%	
MORPHINE METABOLISM PATHWAY%SMPDB%SMP0000622	MORPHINE METABOLISM PATHWAY%SMPDB%SMP0000622	Details ...	16	-0.77495456	-2.1767716	0.0	0.0065147895	0.034	1216	tags=44%, list=5%, signal=46%	
UNFOLDED PROTEIN RESPONSE (UPR)%REACTOME%R-HSA-381119.4	UNFOLDED PROTEIN RESPONSE (UPR)%REACTOME%R-HSA-381119.4	Details ...	92	-0.5333073	-2.1714551	0.0	0.0062458077	0.038	3723	tags=39%, list=15%, signal=46%	
XBP1(S) ACTIVATES CHAPERONE GENES%REACTOME%R-HSA-381038.5	XBP1(S) ACTIVATES CHAPERONE GENES%REACTOME%R-HSA-381038.5	Details ...	47	-0.6098359	-2.168208	0.0	0.005752285	0.04	3723	tags=49%, list=15%, signal=58%	
ANDROSTENEDIONE METABOLISM%SMPDB%SMP0030406	ANDROSTENEDIONE METABOLISM%SMPDB%SMP0030406	Details ...	18	-0.745122	-2.137821	0.0	0.00868122	0.068	1216	tags=39%, list=5%, signal=41%	
ETOPOSIDE METABOLISM PATHWAY%PATHWHIZ%PW000577	ETOPOSIDE METABOLISM PATHWAY%PATHWHIZ%PW000577	Details ...	20	-0.7067363	-2.1094458	0.0	0.013172793	0.111	1216	tags=35%, list=5%, signal=37%	
DENGUE VIRUS GENOME TRANSLATION AND REPLICATION%REACTOME%R-HSA-9918487.1	DENGUE VIRUS GENOME TRANSLATION AND REPLICATION%REACTOME%R-HSA-9918487.1	Details ...	80	-0.5399991	-2.1021132	0.0	0.0133304745	0.124	1865	tags=30%, list=8%, signal=32%	
SORAFENIB METABOLISM PATHWAY%PATHWHIZ%PW000624	SORAFENIB METABOLISM PATHWAY%PATHWHIZ%PW000624	Details ...	16	-0.73851115	-2.0729616	0.0	0.018400656	0.179	1216	tags=44%, list=5%, signal=46%	
CLASSICAL ANTIBODY-MEDIATED COMPLEMENT ACTIVATION%REACTOME%R-HSA-173623.4	CLASSICAL ANTIBODY-MEDIATED COMPLEMENT ACTIVATION%REACTOME%R-HSA-173623.4	Details ...	69	-0.54194367	-2.0629425	0.0	0.019812731	0.207	5078	tags=58%, list=21%, signal=73%	
PROTEIN EXIT FROM ENDOPLASMIC RETICULUM%GOBP%GO:0032527	PROTEIN EXIT FROM ENDOPLASMIC RETICULUM%GOBP%GO:0032527	Details ...	25	-0.66780347	-2.0579538	0.0	0.020113325	0.225	2685	tags=52%, list=11%, signal=58%	
IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE%GOBP%GO:0016064	IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE%GOBP%GO:0016064	Details ...	114	-0.4892525	-2.0306957	0.0	0.027305972	0.307	3946	tags=42%, list=16%, signal=50%	
RETINOL METABOLISM%SMPDB%SMP0000074	RETINOL METABOLISM%SMPDB%SMP0000074	Details ...	37	-0.58314687	-2.0287051	0.0	0.026531393	0.317	1363	tags=30%, list=6%, signal=31%	
ETOPOSIDE ACTION PATHWAY%SMPDB%SMP0000442	ETOPOSIDE ACTION PATHWAY%SMPDB%SMP0000442	Details ...	20	-0.7067363	-2.01665	0.0	0.02910136	0.36	1216	tags=35%, list=5%, signal=37%	
IBUPROFEN METABOLISM PATHWAY%PATHWHIZ%PW000566	IBUPROFEN METABOLISM PATHWAY%PATHWHIZ%PW000566	Details ...	23	-0.6578359	-1.998096	0.0	0.033786636	0.42	1705	tags=35%, list=7%, signal=37%	
REGULATION OF CDH1 POSTTRANSLATIONAL PROCESSING AND TRAFFICKING TO PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 95%9768727	REGULATION OF CDH1 POSTTRANSLATIONAL PROCESSING AND TRAFFICKING TO PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 95%9768727	Details ...	32	-0.60256106	-1.9936664	0.0	0.033167895	0.428	2176	tags=34%, list=9%, signal=38%	
B CELL MEDIATED IMMUNITY%GOBP%GO:0019724	B CELL MEDIATED IMMUNITY%GOBP%GO:0019724	Details ...	118	-0.47227025	-1.9823467	0.0	0.036667876	0.474	3946	tags=41%, list=16%, signal=48%	
CD22 MEDIATED BCR REGULATION%REACTOME DATABASE ID RELEASE 95%5690714	CD22 MEDIATED BCR REGULATION%REACTOME DATABASE ID RELEASE 95%5690714		66	-0.52405155	-1.9818794	0.0	0.035247978	0.476	4814	tags=55%, list=20%, signal=68%	
NGF-STIMULATED TRANSCRIPTION%REACTOME DATABASE ID RELEASE 95%9031628	NGF-STIMULATED TRANSCRIPTION%REACTOME DATABASE ID RELEASE 95%9031628		38	-0.5649459	-1.9622756	0.0	0.041678283	0.555	3016	tags=29%, list=12%, signal=33%	
VITAMIN A DEFICIENCY%SMPDB%SMP0000336	VITAMIN A DEFICIENCY%SMPDB%SMP0000336		37	-0.58314687	-1.9535643	0.0	0.044337276	0.591	1363	tags=30%, list=6%, signal=31%	
SYNTHESIS, SECRETION, AND INACTIVATION OF GLUCAGON-LIKE PEPTIDE-1 (GLP-1)%REACTOME%R-HSA-381771.6	SYNTHESIS, SECRETION, AND INACTIVATION OF GLUCAGON-LIKE PEPTIDE-1 (GLP-1)%REACTOME%R-HSA-381771.6		21	-0.6572457	-1.9388897	0.0	0.049636003	0.659	1808	tags=33%, list=7%, signal=36%	
GLYCOSYLATION AND RELATED CONGENITAL DEFECTS%WIKIPATHWAYS_20260211%WP4521%HOMO SAPIENS	GLYCOSYLATION AND RELATED CONGENITAL DEFECTS%WIKIPATHWAYS_20260211%WP4521%HOMO SAPIENS		22	-0.64253306	-1.9377238	0.0	0.048428953	0.668	2293	tags=50%, list=9%, signal=55%	
NEURON FATE COMMITMENT%GOBP%GO:0048663	NEURON FATE COMMITMENT%GOBP%GO:0048663		22	-0.65830564	-1.9350241	0.0034843206	0.04815093	0.682	4106	tags=45%, list=17%, signal=55%	
ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:0030968	ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:0030968		54	-0.525479	-1.9204702	0.0	0.053921502	0.737	2429	tags=31%, list=10%, signal=35%	
FCGR ACTIVATION%REACTOME%R-HSA-2029481.3	FCGR ACTIVATION%REACTOME%R-HSA-2029481.3		73	-0.49430388	-1.9173241	0.0	0.053303875	0.744	4649	tags=52%, list=19%, signal=64%	
INCRETIN SYNTHESIS, SECRETION, AND INACTIVATION%REACTOME%R-HSA-400508.4	INCRETIN SYNTHESIS, SECRETION, AND INACTIVATION%REACTOME%R-HSA-400508.4		24	-0.6110604	-1.9143167	0.0	0.05304299	0.754	1808	tags=29%, list=7%, signal=31%	
ROLE OF LAT2 NTAL LAB ON CALCIUM MOBILIZATION%REACTOME DATABASE ID RELEASE 95%2730905	ROLE OF LAT2 NTAL LAB ON CALCIUM MOBILIZATION%REACTOME DATABASE ID RELEASE 95%2730905		71	-0.49295557	-1.9051123	0.0	0.056773152	0.78	4649	tags=51%, list=19%, signal=62%	
MATURATION OF DENV PROTEINS%REACTOME%R-HSA-9918432.1	MATURATION OF DENV PROTEINS%REACTOME%R-HSA-9918432.1		51	-0.51986736	-1.8952636	0.0	0.06116509	0.812	1608	tags=29%, list=7%, signal=31%	
INITIAL TRIGGERING OF COMPLEMENT%REACTOME%R-HSA-166663.4	INITIAL TRIGGERING OF COMPLEMENT%REACTOME%R-HSA-166663.4		82	-0.46874025	-1.8939081	0.0	0.060071178	0.814	4649	tags=46%, list=19%, signal=57%	
REGULATION OF OXIDATIVE STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902175	REGULATION OF OXIDATIVE STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902175		32	-0.581095	-1.8928031	0.0	0.058737915	0.817	4645	tags=44%, list=19%, signal=54%	
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599	ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599		36	-0.5694872	-1.885618	0.0	0.061262175	0.836	2888	tags=47%, list=12%, signal=53%	
PHOTODYNAMIC THERAPY INDUCED UNFOLDED PROTEIN RESPONSE%WIKIPATHWAYS_20260211%WP3613%HOMO SAPIENS	PHOTODYNAMIC THERAPY INDUCED UNFOLDED PROTEIN RESPONSE%WIKIPATHWAYS_20260211%WP3613%HOMO SAPIENS		20	-0.659862	-1.8851817	0.0	0.059576076	0.836	3341	tags=60%, list=14%, signal=69%	
DEFECTIVE GALNT3 CAUSES HFTC%REACTOME DATABASE ID RELEASE 95%5083625	DEFECTIVE GALNT3 CAUSES HFTC%REACTOME DATABASE ID RELEASE 95%5083625		18	-0.6559093	-1.86692	0.0035971224	0.07017425	0.892	1060	tags=28%, list=4%, signal=29%	
CREATION OF C4 AND C2 ACTIVATORS%REACTOME%R-HSA-166786.4	CREATION OF C4 AND C2 ACTIVATORS%REACTOME%R-HSA-166786.4		76	-0.47890714	-1.8621533	0.0	0.071640216	0.9	4649	tags=49%, list=19%, signal=60%	
RESPONSE TO UNFOLDED PROTEIN%GOBP%GO:0006986	RESPONSE TO UNFOLDED PROTEIN%GOBP%GO:0006986		94	-0.4668367	-1.8570077	0.0	0.07353498	0.919	2092	tags=23%, list=9%, signal=25%	
PROTEIN TARGETING TO ER%GOBP%GO:0045047	PROTEIN TARGETING TO ER%GOBP%GO:0045047		33	-0.5606772	-1.8464568	0.0	0.078870006	0.929	2888	tags=45%, list=12%, signal=51%	
IRINOTECAN METABOLISM PATHWAY%SMPDB%SMP0000600	IRINOTECAN METABOLISM PATHWAY%SMPDB%SMP0000600		24	-0.58399254	-1.837753	0.0038461538	0.08417938	0.938	1216	tags=29%, list=5%, signal=31%	
ESTRONE METABOLISM%SMPDB%SMP0030880	ESTRONE METABOLISM%SMPDB%SMP0030880		16	-0.68856525	-1.8365587	0.0030674846	0.083101645	0.94	1216	tags=44%, list=5%, signal=46%	
PROTEIN REFOLDING%GOBP%GO:0042026	PROTEIN REFOLDING%GOBP%GO:0042026		24	-0.5962513	-1.8352681	0.0033444816	0.08208181	0.941	4738	tags=29%, list=19%, signal=36%	
FCERI MEDIATED MAPK ACTIVATION%REACTOME DATABASE ID RELEASE 95%2871796	FCERI MEDIATED MAPK ACTIVATION%REACTOME DATABASE ID RELEASE 95%2871796		85	-0.45687994	-1.8344766	0.0	0.08086143	0.943	4649	tags=46%, list=19%, signal=56%	
MAINTENANCE OF GASTROINTESTINAL EPITHELIUM%GOBP%GO:0030277	MAINTENANCE OF GASTROINTESTINAL EPITHELIUM%GOBP%GO:0030277		21	-0.61841106	-1.8338065	0.0	0.07949125	0.943	1677	tags=29%, list=7%, signal=31%	
CELLULAR RESPONSE TO UNFOLDED PROTEIN%GOBP%GO:0034620	CELLULAR RESPONSE TO UNFOLDED PROTEIN%GOBP%GO:0034620		69	-0.48107597	-1.8320448	0.0	0.07911635	0.944	2429	tags=26%, list=10%, signal=29%	
N GLYCAN BIOSYNTHESIS%WIKIPATHWAYS_20260211%WP5153%HOMO SAPIENS	N GLYCAN BIOSYNTHESIS%WIKIPATHWAYS_20260211%WP5153%HOMO SAPIENS		49	-0.50341463	-1.821375	0.0	0.08591304	0.959	2272	tags=35%, list=9%, signal=38%	
SELENIUM METABOLISM AND SELENOPROTEINS%WIKIPATHWAYS_20260211%WP28%HOMO SAPIENS	SELENIUM METABOLISM AND SELENOPROTEINS%WIKIPATHWAYS_20260211%WP28%HOMO SAPIENS		39	-0.53889453	-1.8212769	0.003984064	0.08413387	0.959	1922	tags=26%, list=8%, signal=28%	
IRINOTECAN ACTION PATHWAY%PATHWHIZ%PW000238	IRINOTECAN ACTION PATHWAY%PATHWHIZ%PW000238		24	-0.58399254	-1.8117812	0.004016064	0.090643264	0.979	1216	tags=29%, list=5%, signal=31%	
