NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FEMALE MEIOTIC NUCLEAR DIVISION%GOBP%GO:0007143	FEMALE MEIOTIC NUCLEAR DIVISION%GOBP%GO:0007143	Details ...	21	0.6983362	1.7795702	0.0027662518	1.0	0.931	3316	tags=33%, list=14%, signal=39%	
PHOSPHATIDYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0046471	PHOSPHATIDYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0046471	Details ...	31	0.6279995	1.7389666	0.0	1.0	0.994	2498	tags=26%, list=10%, signal=29%	
RECEPTOR INTERNALIZATION%GOBP%GO:0031623	RECEPTOR INTERNALIZATION%GOBP%GO:0031623	Details ...	55	0.56679773	1.7389516	0.0013037809	1.0	0.994	3335	tags=33%, list=14%, signal=38%	
VISUAL BEHAVIOR%GOBP%GO:0007632	VISUAL BEHAVIOR%GOBP%GO:0007632	Details ...	18	0.69790953	1.7354567	0.001457726	1.0	0.995	4704	tags=61%, list=19%, signal=76%	
COMMON PATHWAY OF FIBRIN CLOT FORMATION%REACTOME DATABASE ID RELEASE 95%140875	COMMON PATHWAY OF FIBRIN CLOT FORMATION%REACTOME DATABASE ID RELEASE 95%140875	Details ...	22	0.6625261	1.7317973	0.002793296	1.0	0.996	3625	tags=41%, list=15%, signal=48%	
COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20260211%WP558%HOMO SAPIENS	COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20260211%WP558%HOMO SAPIENS	Details ...	49	0.55507797	1.6738755	0.0025348542	1.0	1.0	8585	tags=63%, list=35%, signal=97%	
POSITIVE REGULATION OF MONOCYTE CHEMOTAXIS%GOBP%GO:0090026	POSITIVE REGULATION OF MONOCYTE CHEMOTAXIS%GOBP%GO:0090026	Details ...	18	0.66532856	1.6646037	0.0073746312	1.0	1.0	5323	tags=56%, list=22%, signal=71%	
GENERATION OF SECOND MESSENGER MOLECULES%REACTOME%R-HSA-202433.5	GENERATION OF SECOND MESSENGER MOLECULES%REACTOME%R-HSA-202433.5	Details ...	37	0.57843244	1.6630164	0.0038910506	1.0	1.0	7592	tags=59%, list=31%, signal=86%	
HALLMARK_PEROXISOME%MSIGDBHALLMARK%HALLMARK_PEROXISOME	HALLMARK_PEROXISOME%MSIGDBHALLMARK%HALLMARK_PEROXISOME	Details ...	81	0.50610733	1.6575123	0.0	1.0	1.0	5125	tags=37%, list=21%, signal=47%	
DENGUE 2 INTERACTIONS WITH COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20260211%WP3896%HOMO SAPIENS	DENGUE 2 INTERACTIONS WITH COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20260211%WP3896%HOMO SAPIENS	Details ...	50	0.54811907	1.6546457	0.0024937657	1.0	1.0	8585	tags=62%, list=35%, signal=95%	
GLYCEROPHOSPHOLIPID BIOSYNTHETIC PATHWAY%WIKIPATHWAYS_20260211%WP2533%HOMO SAPIENS	GLYCEROPHOSPHOLIPID BIOSYNTHETIC PATHWAY%WIKIPATHWAYS_20260211%WP2533%HOMO SAPIENS	Details ...	26	0.62050027	1.6498216	0.0026595744	1.0	1.0	2739	tags=27%, list=11%, signal=30%	
PEROXISOMAL LIPID METABOLISM%REACTOME%R-HSA-390918.7	PEROXISOMAL LIPID METABOLISM%REACTOME%R-HSA-390918.7	Details ...	23	0.63620806	1.6442227	0.0071326676	1.0	1.0	5746	tags=57%, list=23%, signal=74%	
ETHER LIPID METABOLIC PROCESS%GOBP%GO:0046485	ETHER LIPID METABOLIC PROCESS%GOBP%GO:0046485	Details ...	22	0.6328374	1.641152	0.008253095	1.0	1.0	2346	tags=27%, list=10%, signal=30%	
FATTY ACID BETA OXIDATION%WIKIPATHWAYS_20260211%WP143%HOMO SAPIENS	FATTY ACID BETA OXIDATION%WIKIPATHWAYS_20260211%WP143%HOMO SAPIENS	Details ...	26	0.6159029	1.6389114	0.0067842607	1.0	1.0	4516	tags=46%, list=18%, signal=57%	
MACROPHAGE ACTIVATION%GOBP%GO:0042116	MACROPHAGE ACTIVATION%GOBP%GO:0042116	Details ...	41	0.55453825	1.6372695	0.0026041667	1.0	1.0	7017	tags=54%, list=29%, signal=75%	
TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE%REACTOME DATABASE ID RELEASE 95%202430	TRANSLOCATION OF ZAP-70 TO IMMUNOLOGICAL SYNAPSE%REACTOME DATABASE ID RELEASE 95%202430	Details ...	22	0.63671553	1.6285808	0.008379889	1.0	1.0	7592	tags=68%, list=31%, signal=99%	
ZYGOTIC GENOME ACTIVATION (ZGA)%REACTOME DATABASE ID RELEASE 95%9819196	ZYGOTIC GENOME ACTIVATION (ZGA)%REACTOME DATABASE ID RELEASE 95%9819196	Details ...	16	0.6799235	1.6239744	0.016666668	1.0	1.0	6320	tags=63%, list=26%, signal=84%	
POSITIVE REGULATION OF T CELL MIGRATION%GOBP%GO:2000406	POSITIVE REGULATION OF T CELL MIGRATION%GOBP%GO:2000406	Details ...	29	0.5900965	1.6121368	0.009575923	1.0	1.0	6440	tags=55%, list=26%, signal=75%	
STATIN INHIBITION OF CHOLESTEROL PRODUCTION%WIKIPATHWAYS_20260211%WP430%HOMO SAPIENS	STATIN INHIBITION OF CHOLESTEROL PRODUCTION%WIKIPATHWAYS_20260211%WP430%HOMO SAPIENS	Details ...	25	0.5900434	1.6043228	0.014804846	1.0	1.0	8580	tags=72%, list=35%, signal=111%	
CHEMOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0070098	CHEMOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0070098	Details ...	62	0.5075894	1.603951	0.004854369	1.0	1.0	5877	tags=44%, list=24%, signal=57%	
